Timestamp,Sensor1-L,Sensor2-L,Sensor3-L,Sensor4-L,Sensor5-L,Mean,Label,,,,,,,,MIN,MAX,MEAN,,MAX MEAN,MAX MAX
49:12.3,9.9918,0.73932,7.10528,0.45628,0.65148,3.788832,3,,0,9.25248,2.88652,9.53552,9.34032,,0,9.53552,6.202968,,,
49:13.3,3.63072,2.71816,1.80316,5.07764,9.9918,4.644296,3,,6.36108,7.27364,8.18864,4.91416,0,,0,8.18864,5.347504,,,
49:14.3,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,3,,0,0,0,0,0,,0,0,0,,,
49:15.3,3.00608,1.43228,1.4152,1.0492,3.53068,2.086688,3,,6.98572,8.55952,8.5766,8.9426,6.46112,,6.46112,8.9426,7.905112,,,
49:16.3,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,3,,0,0,0,0,0,,0,0,0,,,
49:17.3,2.97436,0.53924,0.94184,0.60024,1.95444,1.402024,3,,7.01744,9.45256,9.04996,9.39156,8.03736,,7.01744,9.45256,8.589776,,,
49:18.3,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,3,,0,0,0,0,0,,0,0,0,,,
49:19.3,9.9918,0.2196,1.05896,0.24156,0.66368,2.43512,3,,0,9.7722,8.93284,9.75024,9.32812,,0,9.7722,7.55668,,,
49:20.3,3.70636,9.9918,1.6836,9.9918,9.9918,7.073072,3,,6.28544,0,8.3082,0,0,,0,8.3082,2.918728,,,
49:21.3,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,3,,0,0,0,0,0,,0,0,0,,,
49:22.3,2.96704,0.66612,1.20292,0.63928,1.53476,1.402024,3,,7.02476,9.32568,8.78888,9.35252,8.45704,,7.02476,9.35252,8.589776,,,
49:23.3,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,3,,0,0,0,0,0,,0,0,0,,,
49:24.3,9.9918,2.5132,9.9918,0.66368,0.63684,4.759464,3,,0,7.4786,0,9.32812,9.35496,,0,9.35496,5.232336,,,
49:25.3,3.5258,6.8686,1.4884,5.97312,9.9918,5.569544,3,,6.466,3.1232,8.5034,4.01868,0,,0,8.5034,4.422256,,,
49:26.4,5.92188,9.9918,9.9918,9.9918,9.9918,9.177816,3,,4.06992,0,0,0,0,,0,4.06992,0.813984,,,
49:27.3,3.27204,2.05936,3.57948,2.28628,5.62664,3.36476,3,,6.71976,7.93244,6.41232,7.70552,4.36516,,4.36516,7.93244,6.62704,,,
49:28.3,3.2452,2.90604,7.37856,2.18624,5.81696,4.3066,3,,6.7466,7.08576,2.61324,7.80556,4.17484,,2.61324,7.80556,5.6852,,,
49:29.3,2.97192,1.01992,0.82472,1.28588,3.82592,1.985672,3,,7.01988,8.97188,9.16708,8.70592,6.16588,,6.16588,9.16708,8.006128,,,
49:30.3,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,3,,0,0,0,0,0,,0,0,0,,,
49:31.3,3.8918,0.33428,0.80276,0.40748,1.06872,1.301008,3,,6.1,9.65752,9.18904,9.58432,8.92308,,6.1,9.65752,8.690792,,,
49:32.3,3.70636,9.9918,1.68604,9.9918,9.9918,7.07356,3,,6.28544,0,8.30576,0,0,,0,8.30576,2.91824,,,
49:33.3,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,3,,0,0,0,0,0,,0,0,0,,,
49:34.4,4.02112,0.50752,1.71288,0.34404,1.21024,1.55916,3,,5.97068,9.48428,8.27892,9.64776,8.78156,,5.97068,9.64776,8.43264,,,
49:35.3,4.73848,9.9918,9.9918,9.9918,9.9918,8.941136,3,,5.25332,0,0,0,0,,0,5.25332,1.050664,,,
49:36.3,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,3,,0,0,0,0,0,,0,0,0,,,
49:37.3,3.15492,1.07604,1.13704,1.05408,6.4172,2.567856,3,,6.83688,8.91576,8.85476,8.93772,3.5746,,3.5746,8.93772,7.423944,,,
49:38.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,3,,0,0,0,0,0,,0,0,0,,,
49:39.4,6.93692,0.33672,2.07644,0.22448,0.8906,2.093032,3,,3.05488,9.65508,7.91536,9.76732,9.1012,,3.05488,9.76732,7.898768,,,
49:40.3,3.60876,4.90928,1.33956,9.9918,9.9918,5.96824,3,,6.38304,5.08252,8.65224,0,0,,0,8.65224,4.02356,,,
49:41.3,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,3,,0,0,0,0,0,,0,0,0,,,
49:42.4,2.9036,0.77836,1.13216,0.7198,2.56932,1.620648,3,,7.0882,9.21344,8.85964,9.272,7.42248,,7.0882,9.272,8.371152,,,
49:43.3,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,3,,0,0,0,0,0,,0,0,0,,,
49:44.3,3.18664,0.45628,0.82472,0.42212,1.28588,1.235128,3,,6.80516,9.53552,9.16708,9.56968,8.70592,,6.80516,9.56968,8.756672,,,
49:45.4,3.904,9.9918,9.9918,9.9918,9.9918,8.77424,3,,6.0878,0,0,0,0,,0,6.0878,1.21756,,,
49:46.3,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,3,,0,0,0,0,0,,0,0,0,,,
49:47.3,3.01828,0.93696,1.00772,0.76616,4.38224,2.022272,3,,6.97352,9.05484,8.98408,9.22564,5.60956,,5.60956,9.22564,7.969528,,,
49:48.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,3,,0,0,0,0,0,,0,0,0,,,
49:49.4,9.9918,0.30256,9.9918,0.12688,0.43676,4.16996,3,,0,9.68924,0,9.86492,9.55504,,0,9.86492,5.82184,,,
49:50.4,3.47456,1.51768,1.24684,2.05448,9.9918,3.657072,3,,6.51724,8.47412,8.74496,7.93732,0,,0,8.74496,6.334728,,,
49:51.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,3,,0,0,0,0,0,,0,0,0,,,
49:52.3,3.1232,1.1468,0.89792,1.09312,6.33668,2.519544,3,,6.8686,8.845,9.09388,8.89868,3.65512,,3.65512,9.09388,7.472256,,,
49:53.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,3,,0,0,0,0,0,,0,0,0,,,
49:54.4,2.89872,0.77348,1.1102,0.65636,1.01748,1.291248,3,,7.09308,9.21832,8.8816,9.33544,8.97432,,7.09308,9.33544,8.700552,,,
49:55.3,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,3,,0,0,0,0,0,,0,0,0,,,
49:56.4,9.9918,0.12688,1.18584,0.23912,0.49532,2.407792,3,,0,9.86492,8.80596,9.75268,9.49648,,0,9.86492,7.584008,,,
49:57.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,3,,0,0,0,0,0,,0,0,0,,,
49:58.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,3,,0,0,0,0,0,,0,0,0,,,
49:59.4,2.9158,0.81984,0.976,0.63684,2.51076,1.571848,3,,7.076,9.17196,9.0158,9.35496,7.48104,,7.076,9.35496,8.419952,,,
50:00.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,3,,0,0,0,0,0,,0,0,0,,,
50:01.4,2.89384,0.71004,0.8052,0.66124,2.5986,1.533784,3,,7.09796,9.28176,9.1866,9.33056,7.3932,,7.09796,9.33056,8.458016,,,
50:02.4,6.04876,9.9918,9.9918,9.9918,9.9918,9.203192,3,,3.94304,0,0,0,0,,0,3.94304,0.788608,,,
50:03.4,9.9918,1.891,9.9918,0.61244,0.8418,4.665768,3,,0,8.1008,0,9.37936,9.15,,0,9.37936,5.326032,,,
50:04.4,3.20128,1.41276,1.1346,1.58844,7.41028,2.949472,3,,6.79052,8.57904,8.8572,8.40336,2.58152,,2.58152,8.8572,7.042328,,,
50:05.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,3,,0,0,0,0,0,,0,0,0,,,
50:06.4,9.9918,0.244,9.9918,0.12932,0.41236,4.153856,3,,0,9.7478,0,9.86248,9.57944,,0,9.86248,5.837944,,,
50:07.4,3.15736,1.17364,0.92232,1.403,6.58556,2.648376,3,,6.83444,8.81816,9.06948,8.5888,3.40624,,3.40624,9.06948,7.343424,,,
50:08.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,3,,0,0,0,0,0,,0,0,0,,,
50:09.4,9.9918,0.2562,9.9918,0.04636,0.15616,4.088464,3,,0,9.7356,0,9.94544,9.83564,,0,9.94544,5.903336,,,
50:10.4,3.21592,1.7568,0.98088,3.60388,7.73724,3.458944,3,,6.77588,8.235,9.01092,6.38792,2.25456,,2.25456,9.01092,6.532856,,,
50:11.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,3,,0,0,0,0,0,,0,0,0,,,
50:12.4,2.90116,0.71736,1.18828,0.63684,1.55672,1.400072,3,,7.09064,9.27444,8.80352,9.35496,8.43508,,7.09064,9.35496,8.591728,,,
50:13.4,3.90888,9.9918,9.9918,9.9918,9.9918,8.775216,3,,6.08292,0,0,0,0,,0,6.08292,1.216584,,,
50:14.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,3,,0,0,0,0,0,,0,0,0,,,
50:15.4,2.98168,1.3176,0.88328,1.34688,4.68236,2.24236,3,,7.01012,8.6742,9.10852,8.64492,5.30944,,5.30944,9.10852,7.74944,,,
50:16.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,3,,0,0,0,0,0,,0,0,0,,,
50:17.4,3.12564,1.27612,1.09068,1.02236,6.36352,2.575664,3,,6.86616,8.71568,8.90112,8.96944,3.62828,,3.62828,8.96944,7.416136,,,
50:18.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,3,,0,0,0,0,0,,0,0,0,,,
