Timestamp,Sensor1-L,Sensor2-L,Sensor3-L,Sensor4-L,Sensor5-L,Mean,Label,,,,,,,Mean
01:40.6,2.98168,0.427,0.4026,0.43432,1.6836,1.18584,0,,7.01012,9.5648,9.5892,9.55748,8.3082,8.80596
01:41.6,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,0,,0,0,0,0,0,0
01:42.6,3.45016,0.59292,0.34404,0.77836,9.9918,3.031456,0,,6.54164,9.39888,9.64776,9.21344,0,6.960344
01:43.6,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,0,,0,0,0,0,0,0
01:44.6,3.4892,0.7076,0.32208,1.46156,9.9918,3.194448,0,,6.5026,9.2842,9.66972,8.53024,0,6.797352
01:45.6,9.9918,0.59536,9.9918,0.4758,1.57136,4.525224,0,,0,9.39644,0,9.516,8.42044,5.466576
01:46.6,6.75148,3.2086,0.82716,4.02356,9.9918,4.96052,0,,3.24032,6.7832,9.16464,5.96824,0,5.03128
01:47.6,9.9918,0.17812,0.30012,0.39772,2.15452,2.604456,0,,0,9.81368,9.69168,9.59408,7.83728,7.387344
01:48.6,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,0,,0,0,0,0,0,0
01:49.6,3.39648,0.5978,0.28548,0.74176,9.9918,3.002664,0,,6.59532,9.394,9.70632,9.25004,0,6.989136
01:50.6,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,0,,0,0,0,0,0,0
01:51.6,3.38916,1.13216,0.33916,0.83692,9.9918,3.13784,0,,6.60264,8.85964,9.65264,9.15488,0,6.85396
01:52.7,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,0,,0,0,0,0,0,0
01:53.6,3.38184,0.5002,0.2318,0.7808,9.9918,2.977288,0,,6.60996,9.4916,9.76,9.211,0,7.014512
01:54.7,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,0,,0,0,0,0,0,0
01:55.6,3.41844,0.5368,0.30012,0.62708,9.9918,2.974848,0,,6.57336,9.455,9.69168,9.36472,0,7.016952
01:56.6,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,0,,0,0,0,0,0,0
01:57.6,2.9646,0.57096,0.33916,0.50996,4.47496,1.771928,0,,7.0272,9.42084,9.65264,9.48184,5.51684,8.219872
01:58.6,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,0,,0,0,0,0,0,0
01:59.6,3.5502,0.29768,0.23668,0.549,9.9918,2.925072,0,,6.4416,9.69412,9.75512,9.4428,0,7.066728
02:00.6,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,0,,0,0,0,0,0,0
02:01.6,9.9918,0.08052,0.2318,0.24644,1.3664,2.383392,0,,0,9.91128,9.76,9.74536,8.6254,7.608408
02:02.6,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,0,,0,0,0,0,0,0
02:03.6,9.9918,0.0732,3.21592,0,0.55632,2.767448,0,,0,9.9186,6.77588,9.9918,9.43548,7.224352
02:04.6,3.79176,9.9918,0.60268,9.9918,9.9918,6.873968,0,,6.20004,0,9.38912,0,0,3.117832
02:05.6,9.9918,0.08296,9.9918,0.15616,0.78568,4.20168,0,,0,9.90884,0,9.83564,9.20612,5.79012
02:06.6,3.45992,0.42212,0.24888,0.71736,9.9918,2.968016,0,,6.53188,9.56968,9.74292,9.27444,0,7.023784
02:07.6,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,0,,0,0,0,0,0,0
02:08.6,3.37208,0.83448,0.29768,1.26392,9.9918,3.151992,0,,6.61972,9.15732,9.69412,8.72788,0,6.839808
02:09.6,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,0,,0,0,0,0,0,0
02:10.6,2.87676,0.41236,0.31232,0.42212,2.36924,1.27856,0,,7.11504,9.57944,9.67948,9.56968,7.62256,8.71324
02:11.6,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,0,,0,0,0,0,0,0
02:12.6,3.47212,0.4514,0.2806,0.59292,9.9918,2.957768,0,,6.51968,9.5404,9.7112,9.39888,0,7.034032
02:13.6,3.599,1.07604,0.41724,2.73768,9.9918,3.564352,0,,6.3928,8.91576,9.57456,7.25412,0,6.427448
02:14.6,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,0,,0,0,0,0,0,0
02:15.6,3.0866,0.38308,0.27328,0.48556,5.94872,2.035448,0,,6.9052,9.60872,9.71852,9.50624,4.04308,7.956352
02:16.6,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,0,,0,0,0,0,0,0
02:17.6,3.50384,0.27328,0.24156,0.3416,3.7454,1.621136,0,,6.48796,9.71852,9.75024,9.6502,6.2464,8.370664
02:18.7,3.96988,9.9918,0.87596,9.9918,9.9918,6.964248,0,,6.02192,0,9.11584,0,0,3.027552
02:19.6,9.9918,0.51972,9.9918,0.22936,1.00284,4.347104,0,,0,9.47208,0,9.76244,8.98896,5.644696
02:20.6,3.36476,1.84708,0.35624,0.69052,9.9918,3.25008,0,,6.62704,8.14472,9.63556,9.30128,0,6.74172
02:21.6,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,0,,0,0,0,0,0,0
02:22.6,2.77916,0.50508,0.28548,0.49044,1.13948,1.039928,0,,7.21264,9.48672,9.70632,9.50136,8.85232,8.951872
