Timestamp,Sensor1-L,Sensor2-L,Sensor3-L,Sensor4-L,Sensor5-L,Mean,Label
59:19.1,1.7202,0.45384,0.45872,0.71492,1.8788,1.045296,1
59:20.1,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
59:21.1,1.54452,0.35136,0.31232,0.55876,1.72752,0.898896,1
59:22.1,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
59:23.1,1.44936,0.305,0.27572,0.48556,1.34444,0.772016,1
59:24.1,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
59:25.5,1.99348,0.62464,0.50752,0.87352,2.79868,1.359568,1
59:26.1,9.9918,1.34932,9.9918,3.86496,1.96664,5.432904,1
59:27.1,1.42984,0.49044,0.38552,1.57624,6.75148,2.126704,1
59:28.1,9.9918,0.82716,2.77916,1.1956,1.60064,3.278872,1
59:29.1,1.44448,6.92228,0.40504,6.94668,6.99792,4.54328,1
59:30.1,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
59:31.1,2.4156,2.05204,0.86132,9.36228,9.26956,4.79216,1
59:32.2,2.22528,0.90036,0.77348,0.95648,1.1102,1.19316,1
59:33.1,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
59:34.1,2.1106,1.14436,0.79544,1.30052,1.80804,1.431792,1
59:35.1,9.9918,9.9918,9.9918,2.22772,3.3184,7.104304,1
59:36.2,1.84952,1.64456,2.44488,1.16388,1.8422,1.789008,1
59:37.1,9.9918,1.15656,9.9918,1.037,0.97356,4.630144,1
59:38.1,2.00812,8.42044,0.77348,8.58148,8.784,5.713504,1
59:39.1,9.9918,1.33956,9.9918,1.3664,1.37372,4.812656,1
